1,1,UNKNOWN,10/22/2004
2,1,DRILLED AND CASED,5/6/2008
3,1,OBSERVATION,11/24/2011
4,2,UNKNOWN,9/10/2003
5,2,DRILLED AND CASED,9/21/2004
6,2,STEAM ASSIS GRAVITY DRAIN,9/21/2005
7,2,SUSPENDED STEAM ASSIS GRAVITY DRAIN,12/31/2011
8,3,UNKNOWN,10/24/2001
9,3,DRILLED AND CASED,1/7/2003
10,3,STEAM ASSIS GRAVITY DRAIN,7/30/2008
11,3,STEAM ASSIS GRAVITY DRAIN,10/2/2003
12,3,SUSPENDED STEAM ASSIS GRAVITY DRAIN,6/7/2004
13,4,UNKNOWN,10/24/2001
14,4,DRILLED AND CASED,10/21/2002
15,4,STEAM ASSIS GRAVITY DRAIN,7/30/2008
16,4,STEAM ASSIS GRAVITY DRAIN,10/2/2003
17,4,SUSPENDED STEAM ASSIS GRAVITY DRAIN,6/7/2004
18,5,UNKNOWN,4/24/2006
19,5,DRILLED AND CASED,9/4/2006
20,5,STEAM ASSIS GRAVITY DRAIN,10/12/2011
21,6,UNKNOWN,4/24/2006
22,6,DRILLED AND CASED,8/28/2006
23,6,STEAM ASSIS GRAVITY DRAIN,10/21/2011
24,6,STEAM ASSIS GRAVITY DRAIN,10/12/2011
25,7,UNKNOWN,7/8/2010
26,7,DRILLED AND CASED,6/6/2011
27,7,STEAM ASSIS GRAVITY DRAIN,10/26/2012
28,8,UNKNOWN,7/8/2010
29,8,DRILLED AND CASED,6/10/2011
30,8,STEAM ASSIS GRAVITY DRAIN,10/26/2012
31,9,UNKNOWN,2/17/2009
32,9,DRILLED AND CASED,8/1/2009
33,9,STEAM ASSIS GRAVITY DRAIN,9/7/2012
34,10,UNKNOWN,2/17/2009
35,10,DRILLED AND CASED,7/19/2009
36,10,STEAM ASSIS GRAVITY DRAIN,9/7/2012
37,11,UNKNOWN,9/10/2003
38,11,DRILLED AND CASED,11/2/2004
39,11,STEAM ASSIS GRAVITY DRAIN,7/30/2008
40,11,STEAM ASSIS GRAVITY DRAIN,5/8/2006
41,11,SUSPENDED STEAM ASSIS GRAVITY DRAIN,9/1/2007
42,12,UNKNOWN,3/31/2010
43,12,DRILLED AND CASED,10/22/2010
44,12,STEAM ASSIS GRAVITY DRAIN,6/11/2011
45,13,UNKNOWN,3/31/2010
46,13,DRILLED AND CASED,10/3/2010
47,13,STEAM ASSIS GRAVITY DRAIN,7/4/2011
48,14,UNKNOWN,7/8/2010
49,14,DRILLED AND CASED,6/15/2011
50,14,STEAM ASSIS GRAVITY DRAIN,10/26/2012
51,15,UNKNOWN,2/17/2009
52,15,DRILLED AND CASED,7/26/2009
53,15,STEAM ASSIS GRAVITY DRAIN,9/7/2012
54,16,UNKNOWN,2/17/2009
55,16,DRILLED AND CASED,6/3/2009
56,16,STEAM ASSIS GRAVITY DRAIN,9/7/2012
57,17,UNKNOWN,7/8/2010
58,17,DRILLED AND CASED,6/17/2011
59,17,STEAM ASSIS GRAVITY DRAIN,10/23/2012
60,18,UNKNOWN,10/22/2004
61,18,DRILLED AND CASED,5/7/2005
62,18,STEAM ASSIS GRAVITY DRAIN,12/15/2011
63,19,UNKNOWN,2/17/2009
64,19,DRILLED AND CASED,4/22/2009
65,19,STEAM ASSIS GRAVITY DRAIN,9/7/2012
66,20,UNKNOWN,9/10/2003
67,20,DRILLED AND CASED,1/18/2005
68,20,STEAM ASSIS GRAVITY DRAIN,9/9/2005
69,21,UNKNOWN,8/11/2003
70,21,DRILLED AND CASED,7/8/2004
71,21,STEAM ASSIS GRAVITY DRAIN,9/15/2008
72,22,UNKNOWN,11/20/2008
73,22,DRILLED AND CASED,2/20/2009
74,22,STEAM ASSIS GRAVITY DRAIN,9/7/2012
75,23,UNKNOWN,7/8/2010
76,23,DRILLED AND CASED,7/6/2011
77,23,STEAM ASSIS GRAVITY DRAIN,10/26/2012
78,24,UNKNOWN,7/8/2010
79,24,DRILLED AND CASED,12/12/2010
80,24,STEAM ASSIS GRAVITY DRAIN,10/26/2012
81,25,UNKNOWN,10/22/2004
82,25,DRILLED AND CASED,3/29/2008
83,25,STEAM ASSIS GRAVITY DRAIN,12/15/2011
84,26,UNKNOWN,8/11/2003
85,26,DRILLED AND CASED,7/18/2004
86,26,STEAM ASSIS GRAVITY DRAIN,9/15/2008
87,27,UNKNOWN,5/28/2008
88,27,DRILLED AND CASED,11/6/2008
